IdProducto	IdSubcategoria	Producto	Color	ListPrice	Tamaño	RangoTamaño	Línea	Modelo	Status
454	22	Men's Sports Shorts, L	Black	59,99	L	L	S	Men's Sports Shorts	
369	2	Road-250 Red, 48	Red	2443,35	48	48-52 CM	R	Road-250	
82		External Lock Washer 3	NA			NA			Current
341	2	Road-650 Black, 48	Black	782,99	48	48-52 CM	R	Road-650	
487	32	Hydration Pack - 70 oz.	Silver	54,99	70	70	S	Hydration Pack	Current
307	12	HL Mountain Frame - Silver, 38	Silver	1204,3248	38	38-40 CM	M	HL Mountain Frame	
87		External Lock Washer 6	NA			NA			Current
541	37	Touring Tire	NA	28,99		NA	T	Touring Tire	Current
605	2	Road-750 Black, 48	Black	539,99	48	48-52 CM	R	Road-750	Current
264	14	LL Road Frame - Red, 48	Red	306,5636	48	48-52 CM	R	LL Road Frame	
553	4	LL Touring Handlebars	NA	46,09		NA	T	LL Touring Handlebars	Current
251	14	HL Road Frame - Red, 56	Red	1301,3636	56	54-58 CM	R	HL Road Frame	
191		ML Road Seat Assembly	NA			NA			Current
566	3	Touring-3000 Blue, 58	Blue	742,35	58	54-58 CM	T	Touring-3000	Current
92		Internal Lock Washer 4	NA			NA			Current
517	15	HL Mountain Seat/Saddle	NA	52,64		NA	M	HL Mountain Seat/Saddle 2	Current
569	3	Touring-3000 Yellow, 50	Yellow	742,35	50	48-52 CM	T	Touring-3000	Current
288	12	HL Mountain Frame - Silver, 42	Silver	1204,3248	42	42-46 CM	M	HL Mountain Frame	
423	17	ML Road Rear Wheel	Black	275,385		NA	R	ML Road Rear Wheel	
385	2	Road-550-W Yellow, 42	Yellow	1000,4375	42	42-46 CM	R	Road-550-W	
268	14	LL Road Frame - Red, 58	Red	306,5636	58	54-58 CM	R	LL Road Frame	
304	12	HL Mountain Frame - Black, 38	Black	1191,1739	38	38-40 CM	M	HL Mountain Frame	
97		Internal Lock Washer 10	NA			NA			Current
299	12	HL Mountain Frame - Black, 44	Black	1349,6	44	42-46 CM	M	HL Mountain Frame	
424	17	HL Road Rear Wheel	Black	357,06		NA	R	HL Road Rear Wheel	
550	12	LL Mountain Frame - Black, 40	Black	249,79	40	38-40 CM	M	LL Mountain Frame	Current
461	18	Men's Bib-Shorts, L	Multi	89,99	L	L	S	Men's Bib-Shorts	
599	1	Mountain-500 Black, 48	Black	539,99	48	48-52 CM	M	Mountain-500	Current
225	19	AWC Logo Cap	Multi	8,99		NA	S	Cycling Cap	Current
102		Thin-Jam Lock Nut 10	NA			NA			Current
208		Tension Pulley	NA			NA			Current
142		Lock Washer 4	NA			NA			Current
229	21	Long-Sleeve Logo Jersey, M	Multi	48,0673	M	M	S	Long-Sleeve Logo Jersey	
107		Thin-Jam Lock Nut 5	NA			NA			Current
494	16	HL Touring Frame - Yellow, 46	Yellow	1003,91	46	42-46 CM	T	HL Touring Frame	Current
416	17	Touring Front Wheel	Black	218,01		NA	T	Touring Front Wheel	
256	14	LL Road Frame - Black, 60	Black	297,6346	60	60-62 CM	R	LL Road Frame	
147		Lock Washer 8	NA			NA			Current
511	12	ML Mountain Frame-W - Silver, 40	Silver	364,09	40	38-40 CM	M	ML Mountain Frame-W	Current
40		Thin-Jam Hex Nut 1	NA			NA			Current
373	2	Road-250 Black, 44	Black	2181,5625	44	42-46 CM	R	Road-250	
112		Thin-Jam Lock Nut 14	NA			NA			Current
492	16	HL Touring Frame - Yellow, 60	Yellow	1003,91	60	60-62 CM	T	HL Touring Frame	Current
459	18	Men's Bib-Shorts, S	Multi	89,99	S	S	S	Men's Bib-Shorts	
316	2	Road-450 Red, 60	Red	1457,99	60	60-62 CM	R	Road-450	
349	1	Mountain-100 Black, 42	Black	3374,99	42	42-46 CM	M	Mountain-100	
286	14	LL Road Frame - Black, 52	Black	306,5636	52	48-52 CM	R	LL Road Frame	
152		Lock Washer 9	NA			NA			Current
308	12	HL Mountain Frame - Silver, 38	Silver	1240,4545	38	38-40 CM	M	HL Mountain Frame	
434	14	ML Road Frame-W - Yellow, 44	Yellow	594,83	44	42-46 CM	R	ML Road Frame-W	Current
558	8	HL Crankset	Black	404,99		NA		HL Crankset	Current
261	14	LL Road Frame - Black, 62	Black	337,22	62	60-62 CM	R	LL Road Frame	Current
45		Thin-Jam Hex Nut 6	NA			NA			Current
577	3	Touring-2000 Blue, 46	Blue	1214,85	46	42-46 CM	T	Touring-2000	Current
117		Lock Nut 5	NA			NA			Current
501	9	Rear Derailleur	Silver	121,46		NA		Rear Derailleur	Current
4		Headset Ball Bearings	NA			NA			Current
432	14	ML Road Frame-W - Yellow, 42	Yellow	594,83	42	42-46 CM	R	ML Road Frame-W	Current
157		Metal Bar 2	NA			NA			Current
430	14	ML Road Frame-W - Yellow, 40	Yellow	594,83	40	38-40 CM	R	ML Road Frame-W	Current
585	3	Touring-3000 Blue, 44	Blue	742,35	44	42-46 CM	T	Touring-3000	Current
50		Thin-Jam Hex Nut 7	NA			NA			Current
122		Lock Nut 8	NA			NA			Current
540	37	HL Road Tire	NA	32,6		NA	R	HL Road Tire	Current
24		Flat Washer 2	NA			NA			Current
289	12	HL Mountain Frame - Silver, 42	Silver	1240,4545	42	42-46 CM	M	HL Mountain Frame	
345	1	Mountain-100 Silver, 42	Silver	3399,99	42	42-46 CM	M	Mountain-100	
336	2	Road-650 Black, 62	Black	699,0982	62	60-62 CM	R	Road-650	
162		Metal Sheet 3	NA			NA			Current
249	14	HL Road Frame - Red, 52	Red	1431,5	52	48-52 CM	R	HL Road Frame	Current
55		Hex Nut 6	NA			NA			Current
127		Lock Nut 13	NA			NA			Current
29		Flat Washer 5	NA			NA			Current
462	20	Half-Finger Gloves, S	Black	23,5481	S	S	S	Half-Finger Gloves	
31		Fork Crown	NA			NA			Current
505	16	LL Touring Frame - Blue, 62	Blue	333,42	62	60-62 CM	T	LL Touring Frame	Current
167		Metal Sheet 1	NA			NA			Current
201		Seat Lug	NA			NA			Current
449	36	Mountain Pump	NA	24,99		NA	M	Mountain Pump	
267	14	LL Road Frame - Red, 52	Red	337,22	52	48-52 CM	R	LL Road Frame	
60		Hex Nut 9	NA			NA			Current
132		Lock Nut 20	NA			NA			Current
551	12	LL Mountain Frame - Silver, 40	Silver	264,05	40	38-40 CM	M	LL Mountain Frame	Current
339	2	Road-650 Black, 44	Black	782,99	44	42-46 CM	R	Road-650	
428	12	ML Mountain Frame - Black, 48	Black	348,76	48	48-52 CM	M	ML Mountain Frame	
472	25	Classic Vest, M	Blue	63,5	M	M	S	Classic Vest	Current
406	4	ML Road Handlebars	NA	61,92		NA	R	ML Road Handlebars	Current
65		Hex Nut 1	NA			NA			Current
137		Lock Nut 4	NA			NA			Current
211	14	HL Road Frame - Red, 58	Red		58	54-58 CM	R	HL Road Frame	Current
447	34	Cable Lock	NA	25		NA	S	Cable Lock	
275	14	ML Road Frame - Red, 48	Red	594,83	48	48-52 CM	R	ML Road Frame	
311	2	Road-150 Red, 44	Red	3578,27	44	42-46 CM	R	Road-150	
70		Hex Nut 21	NA			NA			Current
313	2	Road-150 Red, 52	Red	3578,27	52	48-52 CM	R	Road-150	
325	2	Road-650 Red, 62	Red	782,99	62	60-62 CM	R	Road-650	
248	14	HL Road Frame - Red, 52	Red	1301,3636	52	48-52 CM	R	HL Road Frame	
334	2	Road-650 Black, 60	Black	699,0982	60	60-62 CM	R	Road-650	
350	1	Mountain-100 Black, 44	Black	3374,99	44	42-46 CM	M	Mountain-100	
436	14	ML Road Frame-W - Yellow, 48	Yellow	594,83	48	48-52 CM	R	ML Road Frame-W	Current
400	4	ML Mountain Handlebars	NA	61,92		NA	M	ML Mountain Handlebars	Current
283	14	LL Road Frame - Black, 48	Black	306,5636	48	48-52 CM	R	LL Road Frame	
587	1	Mountain-400-W Silver, 38	Silver	769,49	38	38-40 CM	M	Mountain-400-W	Current
75		Hex Nut 18	NA			NA			Current
372	2	Road-250 Red, 58	Red	2443,35	58	54-58 CM	R	Road-250	Current
425	17	Touring Rear Wheel	Black	245,01		NA	T	Touring Rear Wheel	
32		Front Derailleur Cage	Silver			NA			Current
509	16	LL Touring Frame - Yellow, 58	Yellow	333,42	58	54-58 CM	T	LL Touring Frame	Current
187		LL Mountain Seat Assembly	NA			NA			Current
174		Paint - Blue	NA			NA			Current
178		Cone-Shaped Race	NA			NA			Current
480	37	Patch Kit/8 Patches	NA	2,29		NA	S	Patch kit	Current
346	1	Mountain-100 Silver, 44	Silver	3399,99	44	42-46 CM	M	Mountain-100	
19		Touring End Caps	NA			NA			Current
379	2	Road-250 Black, 58	Black	2181,5625	58	54-58 CM	R	Road-250	
482	23	Racing Socks, L	White	8,99	L	L	R	Racing Socks	Current
446	35	Touring-Panniers, Large	Grey	125		NA	T	Touring-Panniers	
246	14	HL Road Frame - Red, 48	Red	1431,5	48	48-52 CM	R	HL Road Frame	Current
254	14	LL Road Frame - Black, 58	Black	306,5636	58	54-58 CM	R	LL Road Frame	
391	10	LL Fork	NA	148,22		NA		LL Fork	
359	1	Mountain-200 Black, 38	Black	2294,99	38	38-40 CM	M	Mountain-200	Current
323	2	Road-650 Red, 60	Red	782,99	60	60-62 CM	R	Road-650	
405	4	ML Road Handlebars	NA	56,2909		NA	R	ML Road Handlebars	
205		Seat Stays	NA			NA			Current
506	16	LL Touring Frame - Yellow, 44	Yellow	333,42	44	42-46 CM	T	LL Touring Frame	Current
84		External Lock Washer 9	NA			NA			Current
531	12	LL Mountain Frame - Black, 42	Black	249,79	42	42-46 CM	M	LL Mountain Frame	Current
460	18	Men's Bib-Shorts, M	Multi	89,99	M	M	S	Men's Bib-Shorts	
579	3	Touring-2000 Blue, 54	Blue	1214,85	54	54-58 CM	T	Touring-2000	Current
188		ML Mountain Seat Assembly	NA			NA			Current
596	1	Mountain-500 Black, 40	Black	539,99	40	38-40 CM	M	Mountain-500	Current
89		External Lock Washer 8	NA			NA			Current
398	4	LL Mountain Handlebars	NA	44,54		NA	M	LL Mountain Handlebars	Current
483	26	Hitch Rack - 4-Bike	NA	120		NA	S	Hitch Rack - 4-Bike	Current
203		Seat Post	NA			NA			Current
219	23	Mountain Bike Socks, L	White	9,5	L	L	M	Mountain Bike Socks	
266	14	LL Road Frame - Red, 52	Red	306,5636	52	48-52 CM	R	LL Road Frame	
484	29	Bike Wash - Dissolver	NA	7,95		NA	S	Bike Wash	Current
302	12	HL Mountain Frame - Black, 46	Black	1226,9091	46	42-46 CM	M	HL Mountain Frame	
320	2	Road-650 Red, 58	Red	699,0982	58	54-58 CM	R	Road-650	
399	4	ML Mountain Handlebars	NA	56,2909		NA	M	ML Mountain Handlebars	
94		Internal Lock Washer 5	NA			NA			Current
548	13	Touring Pedal	Silver/Black	80,99		NA	T	Touring Pedal	Current
245	14	HL Road Frame - Red, 48	Red	1301,3636	48	48-52 CM	R	HL Road Frame	
549	12	ML Mountain Frame-W - Silver, 38	Silver	364,09	38	38-40 CM	M	ML Mountain Frame-W	Current
298	12	HL Mountain Frame - Black, 42	Black	1349,6	42	42-46 CM	M	HL Mountain Frame	Current
184		ML Road Rim	NA			NA			Current
383	2	Road-550-W Yellow, 40	Yellow	1000,4375	40	38-40 CM	R	Road-550-W	
413	17	LL Road Front Wheel	Black	85,565		NA	R	LL Road Front Wheel	
394	11	LL Headset	NA	34,2		NA		LL Headset	
510	16	LL Touring Frame - Blue, 44	Blue	333,42	44	42-46 CM	T	LL Touring Frame	Current
409	12	ML Mountain Frame - Black, 38	Black	348,76	38	38-40 CM	M	ML Mountain Frame-W	
457	24	Women's Tights, M	Black	74,99	M	M	S	Women's Tights	
99		Internal Lock Washer 8	NA			NA			Current
527	12	LL Mountain Frame - Silver, 52	Silver	264,05	52	48-52 CM	M	LL Mountain Frame	Current
485	30	Fender Set - Mountain	NA	21,98		NA	M	Fender Set - Mountain	Current
15		Decal 2	NA			NA			Current
104		Thin-Jam Lock Nut 2	NA			NA			Current
144		Lock Washer 10	NA			NA			Current
597	1	Mountain-500 Black, 42	Black	539,99	42	42-46 CM	M	Mountain-500	Current
468	20	Full-Finger Gloves, S	Black	37,99	S	S	M	Full-Finger Gloves	
381	2	Road-550-W Yellow, 38	Yellow	1000,4375	38	38-40 CM	R	Road-550-W	
109		Thin-Jam Lock Nut 3	NA			NA			Current
149		Lock Washer 7	NA			NA			Current
186		Touring Rim	NA			NA			Current
42		Thin-Jam Hex Nut 15	NA			NA			Current
114		Thin-Jam Lock Nut 8	NA			NA			Current
522	15	ML Touring Seat/Saddle	NA	39,14		NA	T	ML Touring Seat/Saddle	Current
488	21	Short-Sleeve Classic Jersey, S	Yellow	53,99	S	S	S	Short-Sleeve Classic Jersey	Current
154		Lock Washer 11	NA			NA			Current
567	3	Touring-3000 Blue, 62	Blue	742,35	62	60-62 CM	T	Touring-3000	Current
47		Thin-Jam Hex Nut 4	NA			NA			Current
119		Lock Nut 16	NA			NA			Current
526	12	LL Mountain Frame - Silver, 48	Silver	264,05	48	48-52 CM	M	LL Mountain Frame	Current
330	2	Road-650 Red, 52	Red	699,0982	52	48-52 CM	R	Road-650	
159		Metal Plate 1	NA			NA			Current
530	37	Touring Tire Tube	NA	4,99		NA	T	Touring Tire Tube	Current
389	2	Road-550-W Yellow, 48	Yellow	1000,4375	48	48-52 CM	R	Road-550-W	
565	3	Touring-3000 Blue, 54	Blue	742,35	54	54-58 CM	T	Touring-3000	Current
583	2	Road-350-W Yellow, 48	Yellow	1700,99	48	48-52 CM	R	Road-350-W	Current
52		Thin-Jam Hex Nut 12	NA			NA			Current
516	15	ML Mountain Seat/Saddle	NA	39,14		NA	M	ML Mountain Seat/Saddle 2	Current
124		Lock Nut 22	NA			NA			Current
26		Flat Washer 4	NA			NA			Current
250	14	HL Road Frame - Red, 56	Red	1263,4598	56	54-58 CM	R	HL Road Frame	
312	2	Road-150 Red, 48	Red	3578,27	48	48-52 CM	R	Road-150	
164		Metal Sheet 4	NA			NA			Current
408	4	HL Road Handlebars	NA	120,27		NA	R	HL Road Handlebars	Current
427	12	ML Mountain Frame - Black, 44	Black	348,76	44	42-46 CM	M	ML Mountain Frame	
57		Hex Nut 17	NA			NA			Current
508	16	LL Touring Frame - Yellow, 54	Yellow	333,42	54	54-58 CM	T	LL Touring Frame	Current
129		Lock Nut 10	NA			NA			Current
16		Down Tube	NA			NA			Current
414	17	ML Road Front Wheel	Black	248,385		NA	R	ML Road Front Wheel	
361	1	Mountain-200 Black, 42	Black	2294,99	42	42-46 CM	M	Mountain-200	Current
62		Hex Nut 23	NA			NA			Current
134		Lock Nut 3	NA			NA			Current
515	15	LL Mountain Seat/Saddle	NA	27,12		NA	M	LL Mountain Seat/Saddle 2	Current
296	12	HL Mountain Frame - Black, 42	Black	1191,1739	42	42-46 CM	M	HL Mountain Frame	
183		LL Road Rim	NA			NA			Current
363	1	Mountain-200 Black, 46	Black	2294,99	46	42-46 CM	M	Mountain-200	Current
470	20	Full-Finger Gloves, L	Black	37,99	L	L	M	Full-Finger Gloves	
598	1	Mountain-500 Black, 44	Black	539,99	44	42-46 CM	M	Mountain-500	Current
602	5	ML Bottom Bracket	NA	101,24		NA		ML Bottom Bracket	Current
364	1	Mountain-300 Black, 38	Black	1079,99	38	38-40 CM	M	Mountain-300	
67		Hex Nut 11	NA			NA			Current
139		Lock Nut 18	NA			NA			Current
340	2	Road-650 Black, 48	Black	699,0982	48	48-52 CM	R	Road-650	
590	1	Mountain-400-W Silver, 46	Silver	769,49	46	42-46 CM	M	Mountain-400-W	Current
490	21	Short-Sleeve Classic Jersey, L	Yellow	53,99	L	L	S	Short-Sleeve Classic Jersey	Current
557	8	ML Crankset	Black	256,49		NA		ML Crankset	Current
72		Hex Nut 14	NA			NA			Current
514	6	Rear Brakes	Silver	106,5		NA		Rear Brakes	Current
234	21	Long-Sleeve Logo Jersey, L	Multi	49,99	L	L	S	Long-Sleeve Logo Jersey	Current
594	1	Mountain-500 Silver, 48	Silver	564,99	48	48-52 CM	M	Mountain-500	Current
223	19	AWC Logo Cap	Multi	8,6442		NA	S	Cycling Cap	
387	2	Road-550-W Yellow, 44	Yellow	1000,4375	44	42-46 CM	R	Road-550-W	
285	14	LL Road Frame - Black, 52	Black	297,6346	52	48-52 CM	R	LL Road Frame	
171		Paint - Black	NA			NA			Current
295	12	HL Mountain Frame - Silver, 46	Silver	1364,5	46	42-46 CM	M	HL Mountain Frame	Current
438	14	HL Road Frame - Black, 62	Black	1431,5	62	60-62 CM	R	HL Road Frame	Current
376	2	Road-250 Black, 48	Black	2443,35	48	48-52 CM	R	Road-250	Current
280	14	LL Road Frame - Black, 44	Black	306,5636	44	42-46 CM	R	LL Road Frame	
2		Bearing Ball	NA			NA			Current
258	14	LL Road Frame - Black, 60	Black	337,22	60	60-62 CM	R	LL Road Frame	Current
209		Rear Derailleur Cage	Silver			NA			Current
